id,session,session_seq,visit_id,trial,trial_type,response_time,accuracy
314,1,1,314_1_2023-09-14,1,NORMAL,2092,1
314,1,1,314_1_2023-09-14,2,NORMAL,1833,1
314,1,1,314_1_2023-09-14,3,LURE,2445,1
314,1,1,314_1_2023-09-14,4,NORMAL,1618,1
314,1,1,314_1_2023-09-14,5,NORMAL,1268,1
314,1,1,314_1_2023-09-14,6,NORMAL,2223,1
314,1,1,314_1_2023-09-14,7,NORMAL,1736,1
314,1,1,314_1_2023-09-14,8,LURE,1147,1
314,1,1,314_1_2023-09-14,9,LURE,2434,1
314,1,1,314_1_2023-09-14,10,NORMAL,2201,1
314,1,1,314_1_2023-09-14,11,LURE,2301,1
314,1,1,314_1_2023-09-14,12,NORMAL,1183,1
314,1,1,314_1_2023-09-14,13,NORMAL,2203,1
314,1,1,314_1_2023-09-14,14,LURE,1541,1
314,1,1,314_1_2023-09-14,15,LURE,1309,1
314,1,1,314_1_2023-09-14,16,LURE,1900,1
314,1,1,314_1_2023-09-14,17,LURE,1426,1
314,1,1,314_1_2023-09-14,18,LURE,1529,1
314,2,2,314_2_2023-09-14,1,NORMAL,1288,1
314,2,2,314_2_2023-09-14,2,NORMAL,1466,1
314,2,2,314_2_2023-09-14,3,NORMAL,1590,1
314,2,2,314_2_2023-09-14,4,NORMAL,1621,1
314,2,2,314_2_2023-09-14,5,NORMAL,1317,1
314,2,2,314_2_2023-09-14,6,LURE,1783,1
314,2,2,314_2_2023-09-14,7,LURE,1519,1
314,2,2,314_2_2023-09-14,8,NORMAL,2645,1
314,2,2,314_2_2023-09-14,9,NORMAL,1685,1
314,2,2,314_2_2023-09-14,10,LURE,1384,1
314,2,2,314_2_2023-09-14,11,NORMAL,2250,1
314,2,2,314_2_2023-09-14,12,LURE,1885,1
314,2,2,314_2_2023-09-14,13,LURE,1797,1
314,2,2,314_2_2023-09-14,14,NORMAL,1967,1
314,2,2,314_2_2023-09-14,15,LURE,2468,1
314,2,2,314_2_2023-09-14,16,LURE,1332,1
314,2,2,314_2_2023-09-14,17,LURE,1475,0
314,2,2,314_2_2023-09-14,18,LURE,1252,1
314,3,3,314_3_2023-09-14,1,NORMAL,2734,1
314,3,3,314_3_2023-09-14,2,NORMAL,1300,1
314,3,3,314_3_2023-09-14,3,LURE,2635,1
314,3,3,314_3_2023-09-14,4,NORMAL,1531,1
314,3,3,314_3_2023-09-14,5,NORMAL,2651,1
314,3,3,314_3_2023-09-14,6,LURE,2434,1
314,3,3,314_3_2023-09-14,7,LURE,3116,1
314,3,3,314_3_2023-09-14,8,LURE,3235,1
314,3,3,314_3_2023-09-14,9,LURE,2551,0
314,3,3,314_3_2023-09-14,10,LURE,1610,1
314,3,3,314_3_2023-09-14,11,NORMAL,1929,1
314,3,3,314_3_2023-09-14,12,LURE,1367,1
314,3,3,314_3_2023-09-14,13,LURE,2302,1
314,3,3,314_3_2023-09-14,14,NORMAL,1200,1
314,3,3,314_3_2023-09-14,15,LURE,1320,1
314,3,3,314_3_2023-09-14,16,NORMAL,1409,1
314,3,3,314_3_2023-09-14,17,NORMAL,2082,1
314,3,3,314_3_2023-09-14,18,NORMAL,1668,1
315,1,1,315_1_2023-10-11,1,NORMAL,4005,1
315,1,1,315_1_2023-10-11,2,NORMAL,4170,1
315,1,1,315_1_2023-10-11,3,NORMAL,1967,1
