task,person,occasion,unit,unit_type,value
dot_memory,337,3,1,trial,3.3333333333333335
dot_memory,337,3,2,trial,3.3333333333333335
dot_memory,337,3,3,trial,0
dot_memory,338,1,1,trial,3.3333333333333335
dot_memory,338,1,2,trial,5.6903559372884915
dot_memory,338,1,3,trial,4.0236892706218255
dot_memory,338,2,1,trial,3.72677996249965
dot_memory,338,2,2,trial,5.6903559372884915
dot_memory,338,2,3,trial,7.4535599249993
dot_memory,338,3,1,trial,3.3333333333333335
dot_memory,338,3,2,trial,6.666666666666667
dot_memory,338,3,3,trial,2.3570226039551585
dot_memory,339,1,1,trial,0
dot_memory,339,1,2,trial,5
dot_memory,339,1,3,trial,7.060113295832983
dot_memory,339,2,1,trial,3.3333333333333335
dot_memory,339,2,2,trial,3.3333333333333335
dot_memory,339,2,3,trial,2.3570226039551585
dot_memory,339,3,1,trial,5
dot_memory,339,3,2,trial,3.3333333333333335
dot_memory,339,3,3,trial,1.6666666666666667
dot_memory,340,1,1,trial,3.3333333333333335
dot_memory,340,1,2,trial,9.023689270621825
dot_memory,340,1,3,trial,7.3570226039551585
dot_memory,340,2,1,trial,1.6666666666666667
dot_memory,340,2,2,trial,7.060113295832983
dot_memory,340,2,3,trial,6.380711874576984
dot_memory,340,3,1,trial,0
dot_memory,340,3,2,trial,3.3333333333333335
dot_memory,340,3,3,trial,1.6666666666666667
dot_memory,341,1,1,trial,3.3333333333333335
dot_memory,341,1,2,trial,5
dot_memory,341,1,3,trial,6.666666666666667
dot_memory,341,2,1,trial,4.714045207910317
dot_memory,341,2,2,trial,11.666666666666666
dot_memory,341,2,3,trial,3.3333333333333335
dot_memory,341,3,1,trial,5.6903559372884915
dot_memory,341,3,2,trial,6.666666666666667
dot_memory,341,3,3,trial,5
dot_memory,342,1,1,trial,5.393446629166316
dot_memory,342,1,2,trial,0
dot_memory,342,1,3,trial,4.0236892706218255
dot_memory,342,2,1,trial,5
dot_memory,342,2,2,trial,5.6903559372884915
dot_memory,342,2,3,trial,5.6903559372884915
