id,session,session_seq,visit_id,trial,dot,distance
319,1,1,319_1_2024-01-05,3,2,0
319,1,1,319_1_2024-01-05,3,3,0
319,2,2,319_2_2024-01-05,1,1,0
319,2,2,319_2_2024-01-05,1,2,5
319,2,2,319_2_2024-01-05,1,3,5
319,2,2,319_2_2024-01-05,2,1,15.811388300841896
319,2,2,319_2_2024-01-05,2,2,10
319,2,2,319_2_2024-01-05,2,3,5
319,2,2,319_2_2024-01-05,3,1,5
319,2,2,319_2_2024-01-05,3,2,5
319,2,2,319_2_2024-01-05,3,3,7.0710678118654755
319,3,3,319_3_2024-01-05,1,1,5
319,3,3,319_3_2024-01-05,1,2,7.0710678118654755
319,3,3,319_3_2024-01-05,1,3,11.180339887498949
319,3,3,319_3_2024-01-05,2,1,0
319,3,3,319_3_2024-01-05,2,2,0
319,3,3,319_3_2024-01-05,2,3,5
319,3,3,319_3_2024-01-05,3,1,0
319,3,3,319_3_2024-01-05,3,2,0
319,3,3,319_3_2024-01-05,3,3,0
320,1,1,320_1_2024-01-24,1,1,0
320,1,1,320_1_2024-01-24,1,2,0
320,1,1,320_1_2024-01-24,1,3,0
320,1,1,320_1_2024-01-24,2,1,0
320,1,1,320_1_2024-01-24,2,2,5
320,1,1,320_1_2024-01-24,2,3,5
320,1,1,320_1_2024-01-24,3,1,0
320,1,1,320_1_2024-01-24,3,2,0
320,1,1,320_1_2024-01-24,3,3,0
320,2,2,320_2_2024-01-24,1,1,0
320,2,2,320_2_2024-01-24,1,2,0
320,2,2,320_2_2024-01-24,1,3,0
320,2,2,320_2_2024-01-24,2,1,0
320,2,2,320_2_2024-01-24,2,2,5
320,2,2,320_2_2024-01-24,2,3,0
320,2,2,320_2_2024-01-24,3,1,5
320,2,2,320_2_2024-01-24,3,2,5
320,2,2,320_2_2024-01-24,3,3,0
320,3,3,320_3_2024-01-24,1,1,0
320,3,3,320_3_2024-01-24,1,2,0
320,3,3,320_3_2024-01-24,1,3,0
320,3,3,320_3_2024-01-24,2,1,5
320,3,3,320_3_2024-01-24,2,2,5
320,3,3,320_3_2024-01-24,2,3,10
320,3,3,320_3_2024-01-24,3,1,5
320,3,3,320_3_2024-01-24,3,2,7.0710678118654755
320,3,3,320_3_2024-01-24,3,3,0
321,1,1,321_1_2024-02-05,1,1,5
321,1,1,321_1_2024-02-05,1,2,10
321,1,1,321_1_2024-02-05,1,3,0
321,1,1,321_1_2024-02-05,2,1,0
321,1,1,321_1_2024-02-05,2,2,5
321,1,1,321_1_2024-02-05,2,3,5
321,1,1,321_1_2024-02-05,3,1,0
321,1,1,321_1_2024-02-05,3,2,5
321,1,1,321_1_2024-02-05,3,3,5
321,2,2,321_2_2024-02-05,1,1,0
321,2,2,321_2_2024-02-05,1,2,5
321,2,2,321_2_2024-02-05,1,3,0
321,2,2,321_2_2024-02-05,2,1,0
